Rk,Team,TM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Indiana Pacers,IND,4,960,150,323,0.464,52,133,0.391,98,190,0.516,93,119,0.782,37,145,182,96,35,17,57,63,445
2,Philadelphia 76ers,PHI,4,960,156,345,0.452,49,140,0.35,107,205,0.522,88,108,0.815,39,134,173,76,27,22,42,97,449
3,Brooklyn Nets,BRK,4,960,180,364,0.495,71,164,0.433,109,200,0.545,74,94,0.787,37,167,204,122,28,22,48,90,505
4,Orlando Magic,ORL,5,1200,212,440,0.482,79,206,0.383,133,234,0.568,78,109,0.716,40,212,252,137,35,19,83,103,581
5,Portland Trail Blazers,POR,5,1200,214,442,0.484,60,175,0.343,154,267,0.577,98,140,0.7,62,180,242,130,44,29,75,114,586
6,Dallas Mavericks,DAL,6,1465,271,541,0.501,84,208,0.404,187,333,0.562,134,165,0.812,52,226,278,127,43,20,72,147,760
7,Utah Jazz,UTA,7,1705,281,603,0.466,106,252,0.421,175,351,0.499,102,120,0.85,74,220,294,155,34,32,84,149,770
8,Oklahoma City Thunder,OKC,7,1705,276,635,0.435,128,357,0.359,148,278,0.532,93,115,0.809,52,251,303,150,65,27,89,161,773
9,Los Angeles Lakers,LAL,8,1920,300,681,0.441,106,275,0.385,194,406,0.478,150,189,0.794,67,253,320,153,65,24,123,183,856
10,Miami Heat,MIA,9,2185,335,752,0.445,102,293,0.348,233,459,0.508,161,215,0.749,77,284,361,196,74,45,127,207,933
11,Boston Celtics,BOS,10,2450,352,870,0.405,114,372,0.306,238,498,0.478,195,249,0.783,95,332,427,204,69,50,126,223,1013
12,Houston Rockets,HOU,10,2425,382,842,0.454,117,351,0.333,265,491,0.54,173,228,0.759,91,383,474,198,62,48,167,172,1054
13,Toronto Raptors,TOR,10,2450,370,859,0.431,140,405,0.346,230,454,0.507,186,237,0.785,77,386,463,240,56,50,156,207,1066
14,Milwaukee Bucks,MIL,10,2425,372,849,0.438,150,400,0.375,222,449,0.494,205,242,0.847,72,365,437,243,71,36,149,212,1099
15,Los Angeles Clippers,LAC,10,2425,400,871,0.459,125,362,0.345,275,509,0.54,176,239,0.736,85,333,418,218,71,40,132,230,1101
16,Denver Nuggets,DEN,11,2665,437,899,0.486,148,376,0.394,289,523,0.553,202,265,0.762,105,362,467,235,73,38,144,220,1224
